model,beta,p,p_blocks,p_published
LMM adaptive over fixed (published),0.0020214664706707792,0.0006555128659742073,,
"excess_fixed, both in, 5 s blocks",0.02117202795962948,0.0386415210445915,,
"excess_adaptive, both in, 5 s blocks",-0.0025623545496603825,0.8018104656922665,,
"above alone, 5 s blocks",0.5443912386972389,0.02852607771157116,,
"excess_fixed alone, 5 s blocks",0.018488473376267443,0.01423819833779724,,
"excess_adaptive alone, 5 s blocks",0.013391147093216512,0.07012948681041792,,
above_adaptive added over above,-0.03308084537509369,0.8550788536075045,0.8266713647948554,0.7701212994561417
sustained added over above,0.2975669985754145,0.19423001797554085,0.4199754812284823,0.1278063267008962
rate added over above,-0.012767167460219104,0.1107372991671759,0.44564396892417657,0.026054658577808486
excess_adaptive added over excess_fixed,0.004101796027863742,0.6820391091612965,0.8018104656922665,0.0006555128659742073
